Updated On,State,Total Tested,Positive,Negative,Unconfirmed,Total People In Quarantine,Total People Released From Quarantine,Num Isolation Beds,Num ICU Beds,Num Ventilators,Num Calls State Helpline,Source,Source2,Test positivity rate,Tests per thousand,Tests per million,Population (Source: UIDAI),1000,1000000
02/04/2020,Goa,220,5,197,18,,,,,,,https://www.goa.gov.in/wp-content/uploads/2020/04/Media-Bulletin-02.04.2020.pdf,,2.27%,0.1428571429,142.8571429,1540000,,
09/04/2020,Goa,344,7,,,,,,,,,https://twitter.com/dip_goa/status/1248237654258352129?s=09,,2.03%,0.2233766234,223.3766234,,,
10/04/2020,Goa,354,7,,,,,,,,,https://twitter.com/DHS_Goa/status/1248609175241764872/photo/1,,1.98%,0.2298701299,229.8701299,,,
11/04/2020,Goa,,,,,,,,,,,,,,0,0,,,
12/04/2020,Goa,406,7,,,141,,,,,,https://twitter.com/DHS_Goa/status/1249332036751347713,,1.72%,0.2636363636,263.6363636,,,
13/04/2020,Goa,440,7,,,,,,,,,https://t.me/indiacovid/2180,,1.59%,0.2857142857,285.7142857,,,
14/04/2020,Goa,479,7,,,,,,,,,https://t.me/indiacovid/2280,,1.46%,0.311038961,311.038961,,,
15/04/2020,Goa,556,7,,,,,,,,,https://twitter.com/DHS_Goa/status/1250412621158690818?s=19,,1.26%,0.361038961,361.038961,,,
16/04/2020,Goa,611,7,,,,,,,,,https://twitter.com/DHS_Goa/status/1250772892956028930?s=19,,1.15%,0.3967532468,396.7532468,,,
17/04/2020,Goa,673,7,,,,,,,,,https://twitter.com/DHS_Goa/status/1251147496824303620,,1.04%,0.437012987,437.012987,,,
18/04/2020,Goa,758,7,,,,,,,,,https://twitter.com/DHS_Goa/status/1251500960444104704,,0.92%,0.4922077922,492.2077922,,,
19/04/2020,Goa,826,7,,,,,,,,,https://twitter.com/DHS_Goa/status/1251858305669980160,,0.85%,0.5363636364,536.3636364,,,
20/04/2020,Goa,901,7,,,,,,,,,https://twitter.com/DHS_Goa/status/1252228312107118593,,0.78%,0.5850649351,585.0649351,,,
21/04/2020,Goa,1004,7,,,,,,,,,https://twitter.com/DHS_Goa/status/1252606575077847040,,0.70%,0.6519480519,651.9480519,,,
22/04/2020,Goa,1116,7,,,,,,,,,https://twitter.com/DHS_Goa/status/1253201084950016000?s=19,,0.63%,0.7246753247,724.6753247,,,
23/04/2020,Goa,1206,7,,,,,,,,,https://twitter.com/DHS_Goa/status/1253330859903479814,,0.58%,0.7831168831,783.1168831,,,
24/04/2020,Goa,,,,,,,,,,,,,,0,0,,,
27/04/2020,Goa,1541,7,,,316,,,,,,https://nhm.goa.gov.in/,,0.45%,1.000649351,1000.649351,,,
28/04/2020,Goa,1776,7,,,330,,,,,,https://twitter.com/DHS_Goa/status/1255132758822678530?s=19,,,1.153246753,1153.246753,,,
29/04/2020,Goa,1871,7,,,347,,,,,,https://twitter.com/DHS_Goa/status/1255509839742148608?s=09,,,,,,,
30/04/2020,Goa,2031,7,,,430,,,,,,https://twitter.com/DHS_Goa/status/1255876950222008320/photo/1,,,,,,,
01/05/2020,Goa,2181,7,,,468,,,,,,https://twitter.com/DHS_Goa/status/1256231452225798144/photo/1,,,,,,,
02/05/2020,Goa,2372,7,,,584,,,,,,https://twitter.com/DHS_Goa/status/1256595499823529985?s=09,,,,,,,
03/05/2020,Goa,2548,7,,,805,,,,,,https://twitter.com/DHS_Goa/status/1256951473553850371?s=09,,,,,,,
08/04/2020,Gujarat,4224,186,3905,133,12299,,,,1761,,https://t.me/indiacovid/1850?single,,4.40%,0.0621761658,62.1761658,67936000,,
09/04/2020,Gujarat,,,,,,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief0904092020080952519.pdf,,,0,0,,,
10/04/2020,Gujarat,7718,378,7237,103,,,,,,,https://t.me/indiacovid/1994?single,,4.90%,0.1136069242,113.6069242,,,
11/04/2020,Gujarat,9763,468,8888,407,12042,,,,,,https://gujcovid19.gujarat.gov.in/,,4.79%,0.1437087847,143.7087847,,,
12/04/2020,Gujarat,11715,516,10867,332,14013,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1204122020080245240.pdf,https://gujcovid19.gujarat.gov.in/,4.40%,0.1724417098,172.4417098,,,
13/04/2020,Gujarat,14251,572,12970,709,14,14204,,,,,https://gujcovid19.gujarat.gov.in/,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1304132020080356644.pdf,4.01%,0.2097709609,209.7709609,,,
14/04/2020,Gujarat,14980,617,14363,,,,,,,41112,https://gujcovid19.gujarat.gov.in/,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1404142020112010574.pdf,4.12%,0.2205016486,220.5016486,,,
15/04/2020,Gujarat,19197,766,18431,0,15147,,,,,,https://t.me/indiacovid/2364?single,,3.99%,0.2825747763,282.5747763,,,
16/04/2020,Gujarat,20903,929,19974,0,14906,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1604162020113223580.pdf,,4.44%,0.3076866463,307.6866463,,,
17/04/2020,Gujarat,23483,1099,22339,45,15914,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1704172020075526411.pdf,,4.68%,0.3456635657,345.6635657,,,
18/04/2020,Gujarat,26102,1376,24726,0,16925,,,,,,https://twitter.com/PIBAhmedabad/status/1251515915323289601,,5.27%,0.3842145549,384.2145549,,,
19/04/2020,Gujarat,29104,1743,27361,0,18540,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1904192020081511588.pdf,,5.99%,0.428403203,428.403203,,,
20/04/2020,Gujarat,33316,1939,31377,0,23749,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2004202020085436665.pdf,,5.82%,0.490402732,490.402732,,,
21/04/2020,Gujarat,36829,2178,34651,0,30354,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2104212020084254089.pdf,,5.91%,0.5421131653,542.1131653,,,
22/04/2020,Gujarat,39421,2407,37014,0,32317,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2204222020082020535.pdf,https://gujcovid19.gujarat.gov.in/,6.11%,0.5802667216,580.2667216,,,
23/04/2020,Gujarat,42384,2624,39760,0,34409,,,,28,53060,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2304232020085856435.pdf,,6.19%,0.6238813,623.8813,,,
24/04/2020,Gujarat,46743,2815,41007,2921,33734,,,,,54151,https://gujcovid19.gujarat.gov.in/,,6.02%,0.6880446302,688.0446302,,,
25/04/2020,Gujarat,48315,3061,45254,0,36730,,,,30,55188,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2504252020100330249.pdf,,6.34%,0.7111840556,711.1840556,,,
26/04/2020,Gujarat,51091,3301,47790,0,39535,,,,27,56269,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2604262020085308375.pdf,,6.46%,0.7520460433,752.0460433,,,
27/04/2020,Gujarat,53575,3547,50028,0,40851,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2704272020081006359.pdf,,6.62%,0.7886098681,788.6098681,,,
28/04/2020,Gujarat,56101,3774,52327,0,41417,,,,,58828,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2804282020081458432.pdf,,6.73%,0.8257919218,825.7919218,,,
29/04/2020,Gujarat,59488,4082,55406,0,42390,,,,,60855,https://twitter.com/PIBAhmedabad/status/1255510142499643393,,6.86%,0.8756476684,875.6476684,,,
30/04/2020,Gujarat,64007,4395,59612,0,45089,,,,,65325,https://gujcovid19.gujarat.gov.in/uploads/pressbrief3004302020081246734.pdf,,6.87%,0.9421661564,942.1661564,,,
01/05/2020,Gujarat,68774,4721,64053,0,43871,,,,,72248,https://gujcovid19.gujarat.gov.in/uploads/pressbrief0105012020085136642.pdf,,6.86%,1.012335139,1012.335139,,,
02/05/2020,Gujarat,74116,5054,69062,0,45739,,,,,75691,https://gujcovid19.gujarat.gov.in/uploads/pressbrief0205022020080859502.pdf,,6.82%,1.09096797,1090.96797,,,
03/05/2020,Gujarat,80060,5428,,,47147,,,,,85937,https://twitter.com/GujHFWDept/status/1256994368537473024?s=09,,,,,,,
03/04/2020,Haryana,1325,44,938,343,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/BULLETIN%20EVENING03042020.pdf,,3.32%,0.04621233259,46.21233259,28672000,,
07/04/2020,Haryana,2520,141,1821,558,687,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%2008042020Morning.pdf,,5.60%,0.087890625,87.890625,,,
08/04/2020,Haryana,2650,153,1885,612,545,,8649,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%2008042020%20evening.pdf,,5.77%,0.09242466518,92.42466518,,,
09/04/2020,Haryana,2964,156,2017,719,799,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%2009042020evening.pdf,,5.26%,0.1033761161,103.3761161,,,
10/04/2020,Haryana,3527,162,2447,918,914,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%2010042020%20evening.pdf,,4.59%,0.1230119978,123.0119978,,,
11/04/2020,Haryana,3663,165,2472,1026,,,,,,,https://t.me/indiacovid/2051,,4.50%,0.1277553013,127.7553013,,,
12/04/2020,Haryana,3903,181,2513,1209,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin12042020%20evening.pdf,,4.64%,0.1361258371,136.1258371,,,
13/04/2020,Haryana,4489,182,2961,1346,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%201342020%20Evening.pdf,http://www.nhmharyana.gov.in/page.aspx?id=208,4.05%,0.1565638951,156.5638951,,,
14/04/2020,Haryana,5210,184,3681,1345,,,,,,,http://www.nrhmhp.gov.in/,http://www.nhmharyana.gov.in/page.aspx?id=208,3.53%,0.1817103795,181.7103795,,,
15/04/2020,Haryana,7388,190,5581,1617,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin%20date%2015042020evening.pdf,,2.57%,0.2576729911,257.6729911,,,
16/04/2020,Haryana,8064,214,6465,1408,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin%2016-04-2020%20Evening.pdf,,2.65%,0.28125,281.25,,,
17/04/2020,Haryana,8884,223,7148,1527,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin17_04_2020_Evening.pdf,,2.51%,0.3098493304,309.8493304,,,
18/04/2020,Haryana,10454,232,8093,2143,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin%20-Morning-%2018-04-2020.pdfhttp://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin%20Evening%2018-04-2020.pdf,,2.22%,0.3646065848,364.6065848,,,
19/04/2020,Haryana,12687,250,10230,2221,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Media%20Bulletin%2019th%20Aprilevening.pdf,,1.97%,0.4424874442,442.4874442,,,
20/04/2020,Haryana,13894,251,11523,2134,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2020-04-2020.pdf,,1.81%,0.4845842634,484.5842634,,,
21/04/2020,Haryana,14562,255,12253,2068,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2021-04-2020.pdf,,1.75%,0.5078822545,507.8822545,,,
22/04/2020,Haryana,15561,264,13397,1914,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2022-04-2020.pdf,,1.70%,0.5427246094,542.7246094,,,
23/04/2020,Haryana,17582,270,15452,1860,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2023-04-2020.pdf,,1.54%,0.6132114955,613.2114955,,,
24/04/2020,Haryana,18845,275,16642,1928,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2024-04-2020.pdf,,1.46%,0.6572614397,657.2614397,,,
25/04/2020,Haryana,20270,287,17787,2196,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2025-04-2020.pdf,,1.42%,0.7069614955,706.9614955,,,
26/04/2020,Haryana,21467,296,19241,1930,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2026-04-2020.pdf,,1.38%,0.7487095424,748.7095424,,,
27/04/2020,Haryana,22993,301,20702,1990,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2027-04-2020.pdf,,1.31%,0.8019321987,801.9321987,,,
28/04/2020,Haryana,24826,308,22578,1940,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%20%2028-04-2020.pdf,,,0.8658621652,865.8621652,,,
29/04/2020,Haryana,26148,311,24071,1766,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2029-04-2020.pdf,,,0.9119698661,911.9698661,,,
30/04/2020,Haryana,28202,339,25929,1934,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Buletin%20%2030-04-2020.pdf,,,,,,,
01/05/2020,Haryana,30191,357,27784,2050,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2001-05-2020.pdf,,,,,,,
02/05/2020,Haryana,31200,369,28867,1964,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Morning%20Bulletin%2002-05-2020.pdf,,,,,,,
03/05/2020,Haryana,35278,442,32583,2253,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2003-05-2020.pdf,,,,,,,
10/04/2020,Himachal Pradesh,900,30,870,,,,,,,,https://twitter.com/nhm_hp/status/1248648731374714880,,3.33%,0.1232876712,123.2876712,7300000,,
11/04/2020,Himachal Pradesh,900,30,870,0,,,,,,,http://www.nrhmhp.gov.in/,,3.33%,0.1232876712,123.2876712,,,
12/04/2020,Himachal Pradesh,1113,32,944,137,,,,,,,https://twitter.com/nhm_hp/status/1249299563308974085?s=09,,2.88%,0.1524657534,152.4657534,,,
13/04/2020,Himachal Pradesh,1210,32,1109,69,,,,,,,https://twitter.com/ANI/status/1249664611621703680?s=09,,2.64%,0.1657534247,165.7534247,,,
14/04/2020,Himachal Pradesh,1311,32,1232,47,,,,,,,https://twitter.com/nhm_hp/status/1250095208496132096/photo/1,,2.44%,0.1795890411,179.5890411,,,
15/04/2020,Himachal Pradesh,1426,35,1391,0,,,,,,,https://twitter.com/nhm_hp/status/1250447162388824064?s=19,,2.45%,0.1953424658,195.3424658,,,
16/04/2020,Himachal Pradesh,1604,35,1559,10,,,,,,,https://twitter.com/nhm_hp/status/1250826722766761986?s=09,,2.18%,0.2197260274,219.7260274,,,
17/04/2020,Himachal Pradesh,1992,36,1740,216,,,,,,,https://twitter.com/nhm_hp/status/1251189060976037890/photo/1,,1.81%,0.2728767123,272.8767123,,,
18/04/2020,Himachal Pradesh,2207,39,2091,77,,,,,,,https://twitter.com/nhm_hp/status/1251554269267779584?s=19,,1.77%,0.3023287671,302.3287671,,,
19/04/2020,Himachal Pradesh,2553,39,2337,177,,,,,,,https://twitter.com/nhm_hp/status/1251902095738810368?s=19,,1.53%,0.3497260274,349.7260274,,,
20/04/2020,Himachal Pradesh,2892,39,2714,139,,,,,,,https://twitter.com/nhm_hp/status/1252268502104313856/photo/1,,1.35%,0.3961643836,396.1643836,,,
21/04/2020,Himachal Pradesh,3341,39,2933,369,,,,,,,https://twitter.com/nhm_hp/status/1252581823864946690,,1.17%,0.4576712329,457.6712329,,,
22/04/2020,Himachal Pradesh,3700,39,3510,151,,,,,,,https://twitter.com/nhm_hp/status/1253011070173798402?s=09,,1.05%,0.5068493151,506.8493151,,,
23/04/2020,Himachal Pradesh,4020,40,3943,37,,,,,,,https://twitter.com/nhm_hp/status/1253364412880019456?s=19,,1.00%,0.5506849315,550.6849315,,,
24/04/2020,Himachal Pradesh,4328,40,4160,128,,,,,,,https://twitter.com/nhm_hp/status/1253724575323557890,,0.92%,0.5928767123,592.8767123,,,
25/04/2020,Himachal Pradesh,4623,40,4363,220,,,,,,,https://twitter.com/nhm_hp/status/1254028713022406657,,0.87%,0.6332876712,633.2876712,,,
26/04/2020,Himachal Pradesh,4901,40,4794,67,,,,,,,https://twitter.com/nhm_hp/status/1254445018900836353?s=19,,0.82%,0.671369863,671.369863,,,
27/04/2020,Himachal Pradesh,5106,40,5022,44,,,,,,,https://twitter.com/nhm_hp/status/1254806333687242755,,0.78%,0.6994520548,699.4520548,,,
28/04/2020,Himachal Pradesh,5391,40,5344,7,,,,,,,https://twitter.com/nhm_hp/status/1255171851342544898?s=19,,0.74%,0.7384931507,738.4931507,,,
29/04/2020,Himachal Pradesh,5772,40,5726,6,,,,,,,https://twitter.com/nhm_hp/status/1255532748296650752/photo/1,,0.69%,0.7906849315,790.6849315,,,
30/04/2020,Himachal Pradesh,6133,40,6091,2,,,,,,,https://twitter.com/nhm_hp/status/1255895001474772999?s=19,,0.65%,0.8401369863,840.1369863,,,
01/05/2020,Himachal Pradesh,6472,40,6432,0,,,,,,,https://twitter.com/nhm_hp/status/1256255886873378819?s=19,,,,,,,
02/05/2020,Himachal Pradesh,6836,40,6791,5,,,,,,,https://twitter.com/nhm_hp/status/1256613842806685696?s=09,,,,,,,
03/05/2020,Himachal Pradesh,7185,40,7133,12,,,,,,,https://twitter.com/nhm_hp/status/1256973348841631744?s=19,,,,,,,
05/04/2020,Jammu and Kashmir,1551,106,1429,16,,,,,,,https://twitter.com/diprjk/status/1246764514135040000,,6.83%,0.1174733015,117.4733015,13203000,,
10/04/2020,Jammu and Kashmir,2961,207,2754,,415,,,,,,https://twitter.com/diprjk/status/1248598584380887042/photo/1,,6.99%,0.224267212,224.267212,,,
11/04/2020,Jammu and Kashmir,3206,224,2982,,422,,,,,,https://twitter.com/diprjk/status/1248973710284820486?s=19,,6.99%,0.2428236007,242.8236007,,,
12/04/2020,Jammu and Kashmir,3600,245,3355,,433,,,,,,https://twitter.com/diprjk/status/1249325016266637313,https://twitter.com/diprjk,6.81%,0.2726653033,272.6653033,,,
13/04/2020,Jammu and Kashmir,4065,270,3795,,354,,,,,,https://twitter.com/diprjk/status/1249691818737844224,,6.64%,0.3078845717,307.8845717,,,
14/04/2020,Jammu and Kashmir,4619,278,4341,,365,,,,,,https://twitter.com/diprjk/status/1250065146074071041/photo/2,,6.02%,0.3498447323,349.8447323,,,
15/04/2020,Jammu and Kashmir,5171,300,4871,,270,,,,,,https://twitter.com/diprjk/status/1250429960319152128?s=19,,5.80%,0.3916534121,391.6534121,,,
16/04/2020,Jammu and Kashmir,5680,314,5366,,265,,,,,,https://mobile.twitter.com/diprjk/status/1250767946072199168/photo/2,,5.53%,0.4302052564,430.2052564,,,
17/04/2020,Jammu and Kashmir,6438,328,6110,,260,,,,,,https://mobile.twitter.com/diprjk/status/1251154157924282371/photo/2,,5.09%,0.4876164508,487.6164508,,,
18/04/2020,Jammu and Kashmir,6937,341,6596,,252,,,,,,https://twitter.com/diprjk/status/1251512200130228233,,4.92%,0.5254108915,525.4108915,,,
19/04/2020,Jammu and Kashmir,7895,350,7545,,264,,,,,,https://twitter.com/diprjk/status/1251889101550174209?s=19,,4.43%,0.5979701583,597.9701583,,,
20/04/2020,Jammu and Kashmir,8612,368,8244,,229,,,,,,https://twitter.com/diprjk/status/1252217115072839682/photo/2,,4.27%,0.6522759979,652.2759979,,,
21/04/2020,Jammu and Kashmir,9220,380,8840,,248,,,,,,https://twitter.com/diprjk/status/1252595792776294400,,4.12%,0.698326138,698.326138,,,
22/04/2020,Jammu and Kashmir,10039,407,9632,,252,,,,,,https://twitter.com/diprjk/status/1252948284328431618/photo/2,,4.05%,0.7603574945,760.3574945,,,
23/04/2020,Jammu and Kashmir,10977,427,10550,,279,,,,,,https://twitter.com/diprjk/status/1253301875320909824/photo/2,,3.89%,0.8314019541,831.4019541,,,
24/04/2020,Jammu and Kashmir,11764,454,11310,,260,,,,,,https://twitter.com/diprjk/status/1253683232073080832,,3.86%,0.891009619,891.009619,,,
25/04/2020,Jammu and Kashmir,12835,494,12341,,263,,,,,,https://twitter.com/diprjk/status/1254041627196297217,,3.85%,0.9721275468,972.1275468,,,
26/04/2020,Jammu and Kashmir,13959,523,13436,,258,,,,,,https://twitter.com/diprjk/status/1254371474212884485/photo/2,,3.75%,1.057259714,1057.259714,,,
27/04/2020,Jammu and Kashmir,14988,546,14442,,259,,,,,,https://twitter.com/diprjk/status/1254769375883620353,,3.64%,1.135196546,1135.196546,,,
28/04/2020,Jammu and Kashmir,16619,565,16054,,255,,,,,,https://twitter.com/diprjk/status/1255107665719472133?s=19,,3.40%,1.258729077,1258.729077,,,
29/04/2020,Jammu and Kashmir,18450,581,17869,,244,,,,,,https://twitter.com/diprjk/status/1255484146765479937?s=19,,3.15%,1.39740968,1397.40968,,,
30/04/2020,Jammu and Kashmir,19746,614,19132,,193,,,,,,https://twitter.com/diprjk/status/1255851072364507139,,,,,,,
01/05/2020,Jammu and Kashmir,21695,639,21056,,185,,,,,,https://twitter.com/diprjk/status/1256194278877016065/photo/2,,,,,,,
02/05/2020,Jammu and Kashmir,23406,666,22794,,188,,,,,,https://twitter.com/diprjk/status/1256554999880077315/photo/2,,,,,,,
03/05/2020,Jammu and Kashmir,26038,701,25337,,,,,,,,https://twitter.com/diprjk/status/1256923632846209027?s=19,,,,,,,
10/04/2020,Jharkhand,1340,14,1326,,,,2891,239,,,https://twitter.com/BannaGupta76/status/1248679134676443136,,1.04%,0.03582600326,35.82600326,37403000,,
11/04/2020,Jharkhand,1546,17,1529,366,,,2891,239,,,https://twitter.com/BannaGupta76/status/1249017689827205121?s=20,,1.10%,0.04133358287,41.33358287,,,
12/04/2020,Jharkhand,1683,17,1666,434,,,2891,239,,,https://twitter.com/RanchiPIB/status/1249357914571038724,,1.01%,0.04499639066,44.99639066,,,
13/04/2020,Jharkhand,1982,19,1963,541,,,2891,239,,,https://twitter.com/RanchiPIB/status/1249748332857053186?s=20,,0.96%,0.05299040184,52.99040184,,,
14/04/2020,Jharkhand,2334,27,2307,451,,,2891,239,,,https://mobile.twitter.com/FobGumla/status/1250155260691144704/photo/1,,1.16%,0.06240141165,62.40141165,,,
15/04/2020,Jharkhand,,,,,,,,,,,,,,0,0,,,
16/04/2020,Jharkhand,,,,,,,,,,,,,,0,0,,,
17/04/2020,Jharkhand,3143,32,3111,,,,2891,239,,,https://mobile.twitter.com/FobGumla/status/1251192890342158338,,1.02%,0.08403069273,84.03069273,,,
18/04/2020,Jharkhand,3431,33,3398,,,,2891,239,,,https://twitter.com/FobGumla/status/1251564826863628289?s=09,,0.96%,0.09173060984,91.73060984,,,
19/04/2020,Jharkhand,3646,38,3608,,,,2891,239,,,https://mobile.twitter.com/FobGumla/status/1251922007429492736,,1.04%,0.09747881186,97.47881186,,,
20/04/2020,Jharkhand,4235,45,4190,,,,2891,239,,,https://mobile.twitter.com/RanchiPIB/status/1252286622701219840,,1.06%,0.1132262118,113.2262118,,,
21/04/2020,Jharkhand,,,,,,,,,,,,,,0,0,,,
22/04/2020,Jharkhand,5176,49,5127,,,,2891,239,,,https://twitter.com/RanchiPIB/status/1253147423527993345?s=09,,0.95%,0.1383846216,138.3846216,,,
23/04/2020,Jharkhand,5380,53,5327,,,,,,,,https://twitter.com/FobGumla/status/1253342601530368001?s=09,,0.99%,0.1438387295,143.8387295,,,
24/04/2020,Jharkhand,6162,57,6105,,,,,,,,https://twitter.com/FobGumla/status/1253727385851015170/photo/1,,0.93%,0.1647461434,164.7461434,,,
25/04/2020,Jharkhand,6970,67,6903,,,,,,,,https://twitter.com/FobGumla/status/1254135906212012034,,0.96%,0.1863486886,186.3486886,,,
26/04/2020,Jharkhand,7806,82,7724,,,,,,,,https://twitter.com/FobGumla/status/1254496811949023232?s=19,,1.05%,0.2086998369,208.6998369,,,
27/04/2020,Jharkhand,8757,103,8654,,,,,,,,https://twitter.com/RanchiPIB/status/1254812298784342018?s=19,,1.18%,0.2341256049,234.1256049,,,
28/04/2020,Jharkhand,9408,105,9303,,,,,,,,https://twitter.com/RanchiPIB/status/1255181900785696769?s=19,,1.12%,0.2515306259,251.5306259,,,
29/04/2020,Jharkhand,10268,107,10161,,,,,,,,https://twitter.com/FobGumla/status/1255623927360962560/photo/1,,1.04%,0.2745234339,274.5234339,,,
30/04/2020,Jharkhand,10987,109,10878,,,,,,,,https://twitter.com/RanchiPIB/status/1256075687296827392?s=19,,,,,,,
01/05/2020,Jharkhand,11771,113,11658,,,,,,,,https://twitter.com/RanchiPIB/status/1256411187119611906,,,,,,,
02/05/2020,Jharkhand,12393,115,12278,,,,,,,,https://twitter.com/FobGumla/status/1256609438334545921?s=19,,,,,,,
03/05/2020,Jharkhand,13055,115,12940,,,,,,,,https://twitter.com/ANI/status/1256975540772364289?s=19,,,,,,,
03/04/2020,Karnataka,4587,128,4281,178,219,,,,,,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/03-04-2020(English).pdf,,2.79%,0.06971336515,69.71336515,65798000,,
07/04/2020,Karnataka,6580,175,5942,,,,1540,250,130,,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/07-04-2020(English).pdf,,2.66%,0.1000030396,100.0030396,,,
08/04/2020,Karnataka,6967,181,6473,,,,,,,,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/08-04-2020(English).pdf,,2.60%,0.1058846773,105.8846773,,,
09/04/2020,Karnataka,7613,197,7176,,,,,,,,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/09-04-2020(English).pdf,,2.59%,0.1157026049,115.7026049,,,
10/04/2020,Karnataka,7975,207,7673,,,,,,,,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/10-04-2020(English).pdf,,2.60%,0.1212042919,121.2042919,,,
11/04/2020,Karnataka,8560,215,8231,,,,,,,,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/11-04-2020(English).pdf,,2.51%,0.1300951397,130.0951397,,,
12/04/2020,Karnataka,9251,232,8831,,,,,,,,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/12-04-2020(English).pdf,https://karunadu.karnataka.gov.in/hfw/kannada/Pages/cv-media-bulletin.aspx,2.51%,0.1405969786,140.5969786,,,
13/04/2020,Karnataka,10017,247,9572,,,,,,,,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/13-04-2020(English).pdf,,2.47%,0.1522386699,152.2386699,,,
14/04/2020,Karnataka,11107,260,10554,,,,,,,,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/14-04-2020(English).pdf ,,2.34%,0.1688045229,168.8045229,,,
15/04/2020,Karnataka,12483,279,11905,,,,,,,,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/15-04-2020(English).pdf,,2.24%,0.1897170127,189.7170127,,,
16/04/2020,Karnataka,13724,315,13074,,,,,,,,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/16-04-2020(English).pdf,,2.30%,0.2085777683,208.5777683,,,
