Updated On,State,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,Num Isolation Beds,Num ICU Beds,Num Ventilators,Corona Enquiry Calls,Num Calls State Helpline,Source1,,Source2,Test positivity rate,Tests per thousand,Tests per million,Tests per positive case,Population NCP 2019 Projection
16/05/2020,Delhi,130845,Tested,9333,,,,,,,,,,,,https://delhifightscorona.in/wp-content/uploads/2020/05/05-16.pdf,,,7.13%,329.58,329584,14,19814000
17/05/2020,Delhi,135791,Tested,9755,,,,,,,,,,,,https://t.me/indiacovid/4931?single,,,7.18%,342.04,342043,14,19814000
18/05/2020,Delhi,139727,Tested,10054,,,,,,,,,,,,https://delhifightscorona.in/wp-content/uploads/2020/05/05-18.pdf,,,7.20%,351.96,351957,14,19814000
19/05/2020,Delhi,145854,Tested,10554,,,,,,,,,,,,https://delhifightscorona.in/wp-content/uploads/2020/05/05-19.pdf,,,7.24%,367.39,367390,14,19814000
20/05/2020,Delhi,150282,Tested,11088,,,,,,,,,,,,https://delhifightscorona.in/wp-content/uploads/2020/05/05-20.pdf,,,7.38%,378.54,378544,14,19814000
21/05/2020,Delhi,154385,Tested,11659,,,,,,,,,,,,https://delhifightscorona.in/wp-content/uploads/2020/05/05-21.pdf,,,7.55%,388.88,388879,13,19814000
22/05/2020,Delhi,160255,Tested,12319,,,,,,,,,,,,https://delhifightscorona.in/wp-content/uploads/2020/05/05-22.pdf,,,,,,,
02/04/2020,Goa,220,Samples Sent,5,197,18,,,,,,,,,,https://www.goa.gov.in/wp-content/uploads/2020/04/Media-Bulletin-02.04.2020.pdf,,,2.27%,0.55,554,44,1540000
09/04/2020,Goa,344,Samples Sent,7,,,,,,,,,,,,https://twitter.com/dip_goa/status/1248237654258352129?s=09,,,2.03%,0.87,866,49,1540000
10/04/2020,Goa,354,Samples Sent,7,,,,,,,,,,,,https://twitter.com/DHS_Goa/status/1248609175241764872/photo/1,,,1.98%,0.89,892,51,1540000
12/04/2020,Goa,406,Samples Sent,7,,,,202,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1249332036751347713,,,1.72%,1.02,1023,58,1540000
13/04/2020,Goa,440,Samples Sent,7,,,,202,Facility,,,,,,,https://t.me/indiacovid/2180,,,1.59%,1.11,1108,63,1540000
14/04/2020,Goa,479,Samples Sent,7,,,,202,Facility,,,,,,,https://t.me/indiacovid/2280,,,1.46%,1.21,1207,68,1540000
15/04/2020,Goa,556,Samples Sent,7,,,,,,,,,,,,https://twitter.com/DHS_Goa/status/1250412621158690818?s=19,,,1.26%,1.40,1401,79,1540000
16/04/2020,Goa,611,Samples Sent,7,,,,,,,,,,,,https://twitter.com/DHS_Goa/status/1250772892956028930?s=19,,,1.15%,1.54,1539,87,1540000
17/04/2020,Goa,673,Samples Sent,7,,,,,,,,,,,,https://twitter.com/DHS_Goa/status/1251147496824303620,,,1.04%,1.70,1695,96,1540000
18/04/2020,Goa,758,Samples Sent,7,,,,,,,,,,,,https://twitter.com/DHS_Goa/status/1251500960444104704,,,0.92%,1.91,1909,108,1540000
19/04/2020,Goa,826,Samples Sent,7,,,,,,,,,,,,https://twitter.com/DHS_Goa/status/1251858305669980160,,,0.85%,2.08,2081,118,1540000
20/04/2020,Goa,901,Samples Sent,7,,,,,,,,,,,,https://twitter.com/DHS_Goa/status/1252228312107118593,,,0.78%,2.27,2270,129,1540000
21/04/2020,Goa,1004,Samples Sent,7,,,,,,,,,,,,https://twitter.com/DHS_Goa/status/1252606575077847040,,,0.70%,2.53,2529,143,1540000
22/04/2020,Goa,1116,Samples Sent,7,,,,,,,,,,,,https://twitter.com/DHS_Goa/status/1253201084950016000?s=19,,,0.63%,2.81,2811,159,1540000
23/04/2020,Goa,1206,Samples Sent,7,,,,,,,,,,,,https://twitter.com/DHS_Goa/status/1253330859903479814,,,0.58%,3.04,3038,172,1540000
24/04/2020,Goa,,Samples Sent,,,,,,,,,,,,,,,,,,,,1540000
27/04/2020,Goa,1541,Samples Sent,7,,,,316,Facility,,,,,,,https://nhm.goa.gov.in/,,,0.45%,3.88,3882,220,1540000
28/04/2020,Goa,1776,Samples Sent,7,,,,330,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1255132758822678530?s=19,,,0.39%,4.47,4474,254,1540000
29/04/2020,Goa,1871,Samples Sent,7,,,,347,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1255509839742148608?s=09,,,0.37%,4.71,4713,267,1540000
30/04/2020,Goa,2031,Samples Sent,7,,,,430,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1255876950222008320/photo/1,,,0.34%,5.12,5116,290,1540000
01/05/2020,Goa,2181,Samples Sent,7,,,,468,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1256231452225798144/photo/1,,,0.32%,5.49,5494,312,1540000
02/05/2020,Goa,2372,Samples Sent,7,,,,584,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1256595499823529985?s=09,,,0.30%,5.97,5975,339,1540000
03/05/2020,Goa,2548,Samples Sent,7,,,,805,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1256951473553850371?s=09,,,0.27%,6.42,6418,364,1540000
04/05/2020,Goa,2899,Samples Sent,7,,,,981,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1257325604912824321?s=19,,,0.24%,7.30,7302,414,1540000
05/05/2020,Goa,3096,Samples Sent,7,,,,1063,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1257683623370805250?s=19,,,0.23%,7.80,7798,442,1540000
06/05/2020,Goa,3411,Samples Sent,7,,,,1251,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1258058668999835648/photo/1,,,0.21%,8.59,8592,487,1540000
08/05/2020,Goa,4140,Samples Sent,7,,,,1661,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1258776339311521793?s=09,,,0.17%,10.43,10428,591,1540000
09/05/2020,Goa,4524,Samples Sent,7,,,,1974,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1259136672094019585?s=19,,,0.15%,11.40,11395,646,1540000
10/05/2020,Goa,4848,Samples Sent,7,,,,2223,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1259500127976226819?s=09,,,0.14%,12.21,12212,693,1540000
11/05/2020,Goa,5307,Samples Sent,7,,,,2503,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1259877518787481602,,,0.13%,13.37,13368,758,1540000
14/05/2020,Goa,6736,Samples Sent,7,,,,3080,Facility,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/2,,https://nhm.goa.gov.in/,0.10%,16.97,16967,962,1540000
15/05/2020,Goa,7304,Samples Sent,7,,,,3787,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1261315531480719360?s=19,,https://nhm.goa.gov.in/,0.10%,18.40,18398,1043,1540000
16/05/2020,Goa,8011,Samples Sent,20,,,,4126,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1261709817351032832?s=19,,,0.25%,20.18,20179,401,1540000
17/05/2020,Goa,8785,Samples Sent,29,,,,4525,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1262066274642784257?s=19,,,0.33%,22.13,22128,303,1540000
18/05/2020,Goa,8785,Samples Sent,29,,,,4525,Facility,,,,,,,https://t.me/Covid19india_Auxiliary_Test_Data/53,,https://nhm.goa.gov.in/,0.33%,22.13,22128,303,1540000
19/05/2020,Goa,9549,Samples Sent,46,,,,5072,Facility,,,,,,,https://t.me/indiacovid/5130,,https://nhm.goa.gov.in/,0.48%,24.05,24053,208,1540000
20/05/2020,Goa,10136,Samples Sent,50,,,,5394,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1263108360653516800,,,0.49%,25.53,25531,203,1540000
21/05/2020,Goa,10859,Samples Sent,52,,,,5773,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1263462554237636610?s=19,,https://t.me/indiacovid/5259,0.48%,27.35,27353,209,1540000
22/05/2020,Goa,11362,Samples Sent,54,,,,6020,Facility,,,,,,,https://twitter.com/DHS_Goa/status/1263826561528000514,,https://t.me/indiacovid/5322,,,,,
23/05/2020,Goa,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,Gujarat,4224,Tested,186,3905,133,,12299,All Included,,,,1761,,,https://t.me/indiacovid/1850?single,,,4.40%,10.64,10640,23,67936000
10/04/2020,Gujarat,7718,Tested,378,7237,103,,,All Included,,,,,,,https://t.me/indiacovid/1994?single,,,4.90%,19.44,19441,20,67936000
11/04/2020,Gujarat,9763,Tested,468,8888,407,,12042,All Included,,,,,,,https://gujcovid19.gujarat.gov.in/,,,4.79%,24.59,24592,21,67936000
12/04/2020,Gujarat,11715,Tested,516,10867,332,,14013,All Included,,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1204122020080245240.pdf,,https://gujcovid19.gujarat.gov.in/,4.40%,29.51,29509,23,67936000
13/04/2020,Gujarat,14251,Tested,572,12970,709,,,All Included,14204,,,,,,https://gujcovid19.gujarat.gov.in/,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1304132020080356644.pdf,4.01%,35.90,35897,25,67936000
14/04/2020,Gujarat,14980,Tested,617,14363,,,,All Included,,,,,,41112,https://gujcovid19.gujarat.gov.in/,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1404142020112010574.pdf,4.12%,37.73,37733,24,67936000
15/04/2020,Gujarat,19197,Tested,766,18431,0,,15147,All Included,,,,,,,https://t.me/indiacovid/2364?single,,,3.99%,48.36,48355,25,67936000
16/04/2020,Gujarat,20903,Tested,929,19974,0,,14906,All Included,,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1604162020113223580.pdf,,,4.44%,52.65,52652,23,67936000
17/04/2020,Gujarat,23483,Tested,1099,22339,45,,15914,All Included,,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1704172020075526411.pdf,,,4.68%,59.15,59151,21,67936000
18/04/2020,Gujarat,26102,Tested,1376,24726,0,,16925,All Included,,,,,,,https://twitter.com/PIBAhmedabad/status/1251515915323289601,,,5.27%,65.75,65748,19,67936000
19/04/2020,Gujarat,29104,Tested,1743,27361,0,,18540,All Included,,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1904192020081511588.pdf,,,5.99%,73.31,73310,17,67936000
20/04/2020,Gujarat,33316,Tested,1939,31377,0,,23749,All Included,,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2004202020085436665.pdf,,,5.82%,83.92,83919,17,67936000
21/04/2020,Gujarat,36829,Tested,2178,34651,0,,30354,All Included,,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2104212020084254089.pdf,,,5.91%,92.77,92768,17,67936000
22/04/2020,Gujarat,39421,Tested,2407,37014,0,,32317,All Included,,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2204222020082020535.pdf,,https://gujcovid19.gujarat.gov.in/,6.11%,99.30,99297,16,67936000
23/04/2020,Gujarat,42384,Tested,2624,39760,0,,34409,All Included,,,,28,,53060,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2304232020085856435.pdf,,,6.19%,106.76,106761,16,67936000
24/04/2020,Gujarat,46743,Tested,2815,41007,2921,,33734,All Included,,,,,,54151,https://gujcovid19.gujarat.gov.in/,,,6.02%,117.74,117741,17,67936000
25/04/2020,Gujarat,48315,Tested,3061,45254,0,,36730,All Included,,,,30,,55188,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2504252020100330249.pdf,,,6.34%,121.70,121700,16,67936000
26/04/2020,Gujarat,51091,Tested,3301,47790,0,,39535,All Included,,,,27,,56269,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2604262020085308375.pdf,,,6.46%,128.69,128693,15,67936000
27/04/2020,Gujarat,53575,Tested,3547,50028,0,,40851,All Included,,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2704272020081006359.pdf,,,6.62%,134.95,134950,15,67936000
28/04/2020,Gujarat,56101,Tested,3774,52327,0,,41417,All Included,,,,,,58828,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2804282020081458432.pdf,,,6.73%,141.31,141312,15,67936000
29/04/2020,Gujarat,59488,Tested,4082,55406,0,,42390,All Included,,,,,,60855,https://twitter.com/PIBAhmedabad/status/1255510142499643393,,,6.86%,149.84,149844,15,67936000
30/04/2020,Gujarat,64007,Tested,4395,59612,0,,45089,All Included,,,,,,65325,https://gujcovid19.gujarat.gov.in/uploads/pressbrief3004302020081246734.pdf,,,6.87%,161.23,161227,15,67936000
01/05/2020,Gujarat,68774,Tested,4721,64053,0,,43871,All Included,,,,,,72248,https://gujcovid19.gujarat.gov.in/uploads/pressbrief0105012020085136642.pdf,,,6.86%,173.23,173234,15,67936000
02/05/2020,Gujarat,74116,Tested,5054,69062,0,,45739,All Included,,,,,,75691,https://gujcovid19.gujarat.gov.in/uploads/pressbrief0205022020080859502.pdf,,,6.82%,186.69,186690,15,67936000
03/05/2020,Gujarat,80060,Tested,5428,74632,0,,47147,All Included,,,,,,85937,https://gujcovid19.gujarat.gov.in/uploads/pressbrief0305032020084023552.pdf,,,6.78%,201.66,201662,15,67936000
04/05/2020,Gujarat,84648,Tested,5804,78844,0,,50983,All Included,,,,,,87996,https://gujcovid19.gujarat.gov.in/,,,6.86%,213.22,213219,15,67936000
05/05/2020,Gujarat,89632,Tested,6245,83387,0,,50612,All Included,,,,,,89902,https://gujcovid19.gujarat.gov.in/uploads/pressbrief0505052020082704549.pdf,,,6.97%,225.77,225773,14,67936000
06/05/2020,Gujarat,95191,Tested,6625,88566,0,,58063,All Included,,,,,,91642,https://gujcovid19.gujarat.gov.in/uploads/pressbrief0605062020084004466.pdf,,,6.96%,239.78,239776,14,67936000
07/05/2020,Gujarat,100553,Tested,7013,93540,0,,66861,All Included,,,,,,93508,https://t.me/indiacovid/4220?single,,,6.97%,253.28,253282,14,67936000
08/05/2020,Gujarat,105386,Tested,7403,97984,0,,77798,All Included,,,,,,95161,https://gujcovid19.gujarat.gov.in/,,,7.02%,265.46,265456,14,67936000
09/05/2020,Gujarat,109650,Tested,7797,101853,0,,88864,All Included,,,,,,,https://gujcovid19.gujarat.gov.in/,,,7.11%,276.20,276196,14,67936000
10/05/2020,Gujarat,113493,Tested,8195,105298,0,,103035,All Included,,,,,,98359,https://www.deshgujarat.com/2020/05/10/live-daily-briefing-of-health-department-govt-of-gujarat-by-dr-jayanti-ravi/,,,7.22%,285.88,285877,14,67936000
11/05/2020,Gujarat,116470,Tested,8541,107929,0,,116072,All Included,,,,,,99813,https://gujcovid19.gujarat.gov.in/,,,7.33%,293.38,293375,14,67936000
12/05/2020,Gujarat,119536,Tested,8903,110633,0,,151147,All Included,,,,,,101105,https://gujcovid19.gujarat.gov.in/,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1205122020084721437.pdf,7.45%,301.10,301098,13,67936000
13/05/2020,Gujarat,122297,Tested,9268,113029,0,,,All Included,,,,,,,https://gujcovid19.gujarat.gov.in/,,,7.58%,308.05,308053,13,67936000
14/05/2020,Gujarat,124708,Tested,9591,115117,0,,242866,All Included,,,,,,,https://gujcovid19.gujarat.gov.in/,,,7.69%,314.13,314126,13,67936000
15/05/2020,Gujarat,127859,Tested,9932,117927,0,,267787,All Included,,,,,,105043,https://www.deshgujarat.com/2020/05/15/live-daily-briefing-of-gujarat-health-department-by-dr-jayanti-ravi-2/,,,7.77%,322.06,322063,13,67936000
16/05/2020,Gujarat,138407,Tested,10989,127418,0,,300633,All Included,,,,,,106152,https://twitter.com/PIBAhmedabad/status/1261669285484793857,,,7.94%,348.63,348632,13,67936000
17/05/2020,Gujarat,143600,Tested,11380,132220,0,,423882,All Included,,,,,,107320,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1705172020094025732.pdf,,,7.92%,361.71,361713,13,67936000
18/05/2020,Gujarat,148824,Tested,11746,137078,0,,441627,All Included,,,,,,108463,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1805182020081908578.pdf,,,7.89%,374.87,374872,13,67936000
19/05/2020,Gujarat,154674,Tested,12141,142533,0,,458872,All Included,,,,,,109685,https://twitter.com/PIBAhmedabad/status/1262752065912049664,,,7.85%,389.61,389607,13,67936000
20/05/2020,Gujarat,160772,Tested,12539,148233,0,,476084,All Included,,,,,,110864,https://www.deshgujarat.com/2020/05/20/gujarat-covid19-case-total-12539-new-398-cases-176-discharged-in-24-hours/,,,7.80%,404.97,404967,13,67936000
21/05/2020,Gujarat,166152,Tested,12910,153242,0,,496730,All Included,,,,,,,https://twitter.com/PIBAhmedabad/status/1263476088816177152?s=20,,,7.77%,418.52,418519,13,67936000
22/05/2020,Gujarat,172562,Tested,13273,159289,0,,431143,All Included,,,,,,,https://twitter.com/PIBAhmedabad/status/1263847223785390080/photo/3,,,7.69%,434.66,434665,13,67936000
03/04/2020,Haryana,1325,Samples Sent,44,938,343,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/BULLETIN%20EVENING03042020.pdf,,,3.32%,3.34,3338,30,28672000
07/04/2020,Haryana,2520,Samples Sent,141,1821,558,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%2008042020Morning.pdf,,,5.60%,6.35,6348,18,28672000
08/04/2020,Haryana,2650,Samples Sent,153,1885,612,,,,,8649,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%2008042020%20evening.pdf,,,5.77%,6.68,6675,17,28672000
09/04/2020,Haryana,2964,Samples Sent,156,2017,719,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%2009042020evening.pdf,,,5.26%,7.47,7466,19,28672000
10/04/2020,Haryana,3527,Samples Sent,162,2447,918,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%2010042020%20evening.pdf,,,4.59%,8.88,8884,22,28672000
11/04/2020,Haryana,3663,Samples Sent,165,2472,1026,,,,,,,,,,https://t.me/indiacovid/2051,,,4.50%,9.23,9227,22,28672000
12/04/2020,Haryana,3903,Samples Sent,181,2513,1209,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin12042020%20evening.pdf,,,4.64%,9.83,9831,22,28672000
13/04/2020,Haryana,4489,Samples Sent,182,2961,1346,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%201342020%20Evening.pdf,,http://www.nhmharyana.gov.in/page.aspx?id=208,4.05%,11.31,11307,25,28672000
14/04/2020,Haryana,5210,Samples Sent,184,3681,1345,,,,,,,,,,http://www.nrhmhp.gov.in/,,http://www.nhmharyana.gov.in/page.aspx?id=208,3.53%,13.12,13123,28,28672000
15/04/2020,Haryana,7388,Samples Sent,190,5581,1617,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin%20date%2015042020evening.pdf,,,2.57%,18.61,18610,39,28672000
16/04/2020,Haryana,8064,Samples Sent,214,6465,1408,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin%2016-04-2020%20Evening.pdf,,,2.65%,20.31,20312,38,28672000
17/04/2020,Haryana,8884,Samples Sent,223,7148,1527,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin17_04_2020_Evening.pdf,,,2.51%,22.38,22378,40,28672000
18/04/2020,Haryana,10454,Samples Sent,232,8093,2143,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin%20-Morning-%2018-04-2020.pdfhttp://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin%20Evening%2018-04-2020.pdf,,,2.22%,26.33,26332,45,28672000
19/04/2020,Haryana,12687,Samples Sent,250,10230,2221,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Media%20Bulletin%2019th%20Aprilevening.pdf,,,1.97%,31.96,31957,51,28672000
20/04/2020,Haryana,13894,Samples Sent,251,11523,2134,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2020-04-2020.pdf,,,1.81%,35.00,34997,55,28672000
21/04/2020,Haryana,14562,Samples Sent,255,12253,2068,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2021-04-2020.pdf,,,1.75%,36.68,36680,57,28672000
22/04/2020,Haryana,15561,Samples Sent,264,13397,1914,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2022-04-2020.pdf,,,1.70%,39.20,39196,59,28672000
23/04/2020,Haryana,17582,Samples Sent,270,15452,1860,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2023-04-2020.pdf,,,1.54%,44.29,44287,65,28672000
24/04/2020,Haryana,18845,Samples Sent,275,16642,1928,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2024-04-2020.pdf,,,1.46%,47.47,47469,69,28672000
25/04/2020,Haryana,20270,Samples Sent,287,17787,2196,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2025-04-2020.pdf,,,1.42%,51.06,51058,71,28672000
26/04/2020,Haryana,21467,Samples Sent,296,19241,1930,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2026-04-2020.pdf,,,1.38%,54.07,54073,73,28672000
27/04/2020,Haryana,22993,Samples Sent,301,20702,1990,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2027-04-2020.pdf,,,1.31%,57.92,57917,76,28672000
28/04/2020,Haryana,24826,Samples Sent,308,22578,1940,,,,,8734,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%20%2028-04-2020.pdf,,,1.24%,62.53,62534,81,28672000
29/04/2020,Haryana,26148,Samples Sent,311,24071,1766,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2029-04-2020.pdf,,,1.19%,65.86,65864,84,28672000
30/04/2020,Haryana,28202,Samples Sent,339,25929,1934,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Buletin%20%2030-04-2020.pdf,,,1.20%,71.04,71038,83,28672000
01/05/2020,Haryana,30191,Samples Sent,357,27784,2050,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2001-05-2020.pdf,,,1.18%,76.05,76048,85,28672000
02/05/2020,Haryana,31200,Samples Sent,369,28867,1964,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Morning%20Bulletin%2002-05-2020.pdf,,,1.18%,78.59,78589,85,28672000
03/05/2020,Haryana,35278,Samples Sent,442,32583,2253,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2003-05-2020.pdf,,,1.25%,88.86,88861,80,28672000
04/05/2020,Haryana,38183,Samples Sent,517,34501,3120,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%204-05-2020.pdf,,,1.35%,96.18,96179,74,28672000
05/05/2020,Haryana,40982,Samples Sent,548,36806,3574,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2005-05-2020.pdf,,,1.34%,103.23,103229,75,28672000
06/05/2020,Haryana,43279,Samples Sent,594,38590,4095,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2006-05-2020.pdf,,,1.37%,109.02,109015,73,28672000
07/05/2020,Haryana,46495,Samples Sent,625,41861,4009,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2007-05-2020.pdf,,,1.34%,117.12,117116,74,28672000
08/05/2020,Haryana,49746,Samples Sent,647,43974,5125,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2008-05-2020.pdf,,,1.30%,125.30,125305,77,28672000
09/05/2020,Haryana,53282,Samples Sent,675,48468,4139,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin%20of%20COVID%2019%20as%20on%20090520%20Evening.pdf,,,1.27%,134.21,134212,79,28672000
10/05/2020,Haryana,56983,Samples Sent,703,51046,5234,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2010-05-2020.pdf,,,1.23%,143.53,143534,81,28672000
11/05/2020,Haryana,59735,Samples Sent,730,53697,5308,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2011-05-2020.pdf,,,1.22%,150.47,150466,82,28672000
12/05/2020,Haryana,62377,Samples Sent,780,56440,5157,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2012-05-2020.pdf,,,1.25%,157.12,157121,80,28672000
13/05/2020,Haryana,65785,Samples Sent,793,59890,5102,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2013-05-2020.pdf,,,1.21%,165.71,165705,83,28672000
14/05/2020,Haryana,69191,Samples Sent,818,63791,4582,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2014-05-2020.pdf,,https://t.me/indiacovid/4751,1.18%,174.28,174285,85,28672000
15/05/2020,Haryana,72326,Samples Sent,854,66687,4785,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2015-05-2020.pdf,,https://t.me/indiacovid/4802,1.18%,182.18,182181,85,28672000
16/05/2020,Haryana,75097,Samples Sent,887,69660,4550,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%20of%20COVID%2019%20as%20on%2016-05-2020.pdf,,https://t.me/indiacovid/4869,1.18%,189.16,189161,85,28672000
17/05/2020,Haryana,78029,Samples Sent,910,72494,4625,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2017-05-2020.pdf,,https://t.me/indiacovid/4965,1.17%,196.55,196547,86,28672000
18/05/2020,Haryana,80698,Samples Sent,928,75045,4725,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Daily%20Bulletin%20of%20COVID%2019%20as%20on%2018-05-20%20Evening.pdf,,,1.15%,203.27,203270,87,28672000
19/05/2020,Haryana,82544,Samples Sent,964,77296,4284,,,,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Daily%20Bulletin%20of%20COVID%2019%20as%20on%2019.05.20%20evening%201.pdf,,https://t.me/indiacovid/5110,1.17%,207.92,207919,86,28672000
